building_id,total_price
X5gsdTWGS3W7JJQB,11261185.556107193
BTshNOJyKHnT2YIT,3948522.6897854386
dhdymr0lV8N5kZOT,9928968.16722003
VEwyGGMcD56w5BOc,6247597.052042918
wmUeMoJZfsqaSX9b,1169142.9456134322
EtBjGAHmHCe9t7TZ,2962888.9099338055
hPNH34vmaZtvBtqc,11857086.70257375
wXjeI38bYDMJJwZC,6983528.769940052
fxZSGX6aPAFKU8W4,1679183.4812188714
ewr0Fx6ign87OwaV,4405003.0465911925
gHKurnEP4AowzsLg,893989.8859805857
PmLfTgY2FElLrTl0,5561374.581011998
eM2NppIOwzW0o8iy,9425097.6564416
dxxwNun97NH4WTrZ,2482235.7910877117
jykBfhh3vdeFUi3H,4263356.553064494
NlXbvdFfmJZf3L18,21682664.95094827
D7jaFWHCzSqLBwdt,989479.0167825018
L10dBBdqGmemweSl,6715006.930048143
OgB0AdiPKlElakKN,1133654.9740817186
StiWNN1GQrpPBOYt,2614442.487878485
a016eMAVQKnfwMnt,19279168.763526667
gsCFcQHnOH3AKMcZ,3445654.967404843
IbNsDXfsPwSuFpow,5762039.898326537
EgAVWOVxD1Jy5YkE,1266760.4917616483
BrKghvR76XdbQPnx,7537951.119507395
a7fxkXTnUGWHUmKG,22305516.05420561
WgzXa170DfpzpURE,8657735.348021809
JPWqZbLq0VNC0yKI,9642865.101576058
JQgTtbVstqFZwEK1,398136.6306343995
bCSDbEthlS3nSIor,2003480.927134656
Eg8c7ZRbL0gyAEAb,1790447.3045386707
zsFOujpX1WUIkeMD,2303022.3288947446
jEvQfHD89c14eFJj,8870674.474446198
bU45TrRjtoRJpiOl,6708035.46379272
YLKpsew5dW75vksT,6692502.988483159
hZ1FFAGWfwM7Q5qr,1887755.9534785324
uAE5aaysJhyG8lRW,14632626.947932001
qxNpqoav46ab8aX0,13935993.00958264
tw5gw9arRECzmh5o,12226865.354889778
yn4pyBYVb1GcpQ1T,3897081.2692291564
bE4xwsO642wMGDiH,958989602.0792657
aahqDoaTCZYPUnYs,3104902.192111116
YV43AlJLyiYsBy7N,9879005.75229152
XUoZvwp3G5Uqr6es,5640675.479082021
xtfOOyS24DmebcrG,11588621.59714054
kHySzvJu1pAOGGr8,7547138.994342398
SJLj6Ars5P1fN8uS,17525044.30829893
R9A8BJ65VWVztrwJ,17145027.54115871
CVz3pN9nF05lPP5u,1646552.3895258338
vvgK6NlGq4dXvuOQ,3514658.1920098024
C1h2FivTfEeJpv15,35091081.4661523
N2z4leXPR8YG1qOe,1836279.6711722466
sag3ekvoyZCZgkfV,5231742.394983517
Uk5ex47eeWALNICk,4698998.318373926
vAl9UtIB6CJkKDqG,9685528.636509383
hnYkYGw5QAKE4mKe,819847.8150249782
dGDaCQGvz1JFUpFs,4453449.748727658
O5Hw3gWy8trecv9H,25304067.36255472
